res,expres,CODE,EDID,DTD,CVT,RB,DATE,DMTID,STDID,CVTID,VIC,HVIC,AR,HTOT,HRES,HSPD,HSPW,HSPP,SCAN,VRAT,VTOT,VRES,VSPD,VSPW,VSPP,PCLK,|,780C,780C,780C,780D 780E,780D 780E,780D 780E,780C 780D 780E,HDBASETIN1,HDMIIN1,HDMIIN2,HDMIINRX,VGAIN1,HDBASETOUT1,HDMIOUT1
768x480@60_CVR,Null,*CVR0760,CVR0760,1,0,0,Null,Null,Null,Null,0,Null,Null,928,768,48,32,+,prog,59.87,495,480,3,6,-,27.5,|,x,x,x,x,x,x,,,,,,,,
768x480@60_CVT,Null,*CVT0760D,CVT0760D,1,0,0,Null,Null,Null,Null,0,Null,Null,960,768,24,72,-,prog,59.9,500,480,3,6,+,28.75,|,x,x,x,x,x,x,,,,,,,,
768x480@75_CVT,Null,*CVT0775D,CVT0775D,1,0,0,Null,Null,Null,Null,0,Null,Null,976,768,32,72,-,prog,74.71,504,480,3,6,+,36.75,|,x,x,x,x,x,x,,,,,,,,
768x480@85_CVT,Null,*CVT0785D,CVT0785D,1,0,0,Null,Null,Null,Null,0,Null,Null,992,768,40,72,-,prog,84.5,507,480,3,6,+,42.5,|,x,x,x,x,x,x,,,,,,,,
768x576p@50,Null,*576pz,576pz,1,0,0,Null,Null,Null,Null,0,Null,Null,944,768,22,68,-,prog,50,625,576,5,5,-,29.5,|,x,x,x,x,x,x,,,,,,,,
800x500@60,Null,*CVT0860A,CVT0860A,1,0,0,Null,Null,Null,Null,0,Null,Null,992,800,24,72,-,prog,59.5,521,500,3,6,+,30.75,|,x,x,x,x,x,x,,,,,,,,
800x600@50_CVT,Null,*CVT0850,CVT0850,1,0,0,Null,Null,Null,Null,0,Null,Null,992,800,24,72,-,prog,49.92,621,600,3,4,+,30.75,|,x,x,x,x,x,x,,,,,,,,
800x600@56_DMT,Null,DMT0856,DMT0856,1,0,0,08/07/90,8,Null,Null,0,Null,Null,1024,800,24,72,+,prog,56.25,625,600,1,2,+,36,|,x,x,x,x,x,x,,x,x,x,x,x,,
800x600@60_CVR,Null,*CVR0860,CVR0860,1,0,0,Null,Null,Null,Null,0,Null,Null,960,800,48,32,+,prog,59.84,618,600,3,4,-,35.5,|,x,x,x,x,x,x,,,,,,,,
800x600@60_CVT,Null,*CVT0860,CVT0860,1,0,0,Null,Null,Null,Null,0,Null,Null,1024,800,32,80,-,prog,59.86,624,600,3,4,+,38.25,|,x,x,x,x,x,x,,,,,,,,
800x600@60_DMT,Null,DMT0860,DMT0860,1,0,0,08/07/90,9,4540,Null,0,Null,Null,1056,800,40,128,+,prog,60.32,628,600,1,4,+,40,|,x,x,x,x,x,x,,x,x,x,x,x,x,x
800x600@72_DMT,Null,DMT0872,DMT0872,1,0,0,09/10/91,0A,454C,Null,0,Null,Null,1040,800,56,120,+,prog,72.19,666,600,37,6,+,49.9999,|,x,x,x,x,x,x,,x,x,x,x,x,x,x
800x600@75_CVT,Null,*CVT0875,CVT0875,1,0,0,Null,Null,Null,Null,0,Null,Null,1040,800,40,80,-,prog,74.91,629,600,3,4,+,49,|,x,x,x,x,x,x,,,,,,,,
